1237319030513512448,"MarIntroini","#coronavirus once again individual action and attitude becomes paramount in order to "spread" security and not para… https://t.co/gxd4pMjt5b"
1237319024343744512,"ChocaholicBrit","America needs a President who can lead us in a crisis with maturity, selflessness, compassion, empathy and intellig… https://t.co/n33f7BHuT1"
1237318938150801409,"ImBeautifulSol","#Covid2019 #WuhanVirus #NeroTrump #FakePresident #BlackMonday #MondayVibes #TuesdayMotivation #TuesdayThoughts… https://t.co/5YZREn7gSA"
1237318933889179648,"Mxii_Officiel","Always in quarantine in China...
Toujours en quarantaine en Chine...

Petite vidéo tournée avant tout ça... 🙄… https://t.co/juHehURaPK"
1237318879023636484,"Fridaygirl5","#TuesdayThoughts
#Vivamk small business, working from home  join us :) https://t.co/qCV4ZZeBdr"
1237318862208733185,"sal2nd","Every day I am thankful that I have a voice in this big world

I have to try and remember that it’s just one perso… https://t.co/ZTshdNnSpT"
1237318851794276352,"techawkng","Sanusi Reacts to Dethronement as Emir of Kano
#SanusiLamido| #TuesdayThoughts| #impact2020| #TuesdayMotivation|… https://t.co/KBRuGm4er6"
1237318850439532546,"TomthunkitsMind","PEOPLE ARE DYING IN THEIR HOMES.
Video allegedly shows bodies being loaded into a van for immediate cremation. Mult… https://t.co/5xjOX8YTd6"
1237318812338356224,"ProspectCentre","@TickTock beans Prospect Shopping Centre
#HaveAGoodDay #tuesday #TuesdayThoughts https://t.co/Hqywg3Dpe8"
1237318725528944640,"duomeco","An amusing take on returning to work!

@NellFrizzell @jessphillips
@GillianKeegan @mother_pukka
@BritishVogue… https://t.co/NggZVhXhK0"
1237318703932375040,"PimlicoHomes",""The cost of buy-to-let #mortgages has continued to fall, according to the latest #research from #Property Master."… https://t.co/d81tLSNkF0"
1237318699746557952,"iam_Johnstone",""If it is peace you want, seek to change yourself, not other people. It is easier to protect your feet with slipper… https://t.co/8rJ7KeUBfM"
1237318688325468160,"hector_mcgraw","Modern day pressure is when you’re bursting for a shite but the plumber told you he was gonnae be here for 930 but… https://t.co/MLE7GywJ8B"
1237318665852334080,"jasminemstewart","I’m still unclear why people are stock piling toilet roll!! If the Coronavirus has taught us anything then it’s was… https://t.co/9949F4LT3H"
1237318659082801153,"davepperlmutter","@AllisonAuthor Congrats Allison. Just featured your book, #PerfectDistraction on my #blog https://t.co/4p4Bp6sT0m w… https://t.co/nprdGLi1M6"
1237318617395605504,"ishparker","@campervanliving That’s because You Are Awesomeness! What a truly great story. #BeTheChange #TuesdayMotivation #TuesdayThoughts"
